
2025/03/01 (21:46:35) | ===> btop++ v.1.4.0
2025/03/01 (21:46:35) | INFO: Logger set to DEBUG
2025/03/01 (21:46:35) | DEBUG: Using locale C.UTF-8
2025/03/01 (21:46:35) | INFO: Running on /dev/pts/3
2025/03/01 (21:46:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (21:46:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (21:46:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (21:46:35) | DEBUG: Shared::init() : Initialized.
2025/03/01 (21:46:38) | INFO: Quitting! Runtime: 00:00:03

2025/03/01 (22:04:29) | ===> btop++ v.1.4.0
2025/03/01 (22:04:29) | INFO: Logger set to DEBUG
2025/03/01 (22:04:29) | DEBUG: Using locale C.UTF-8
2025/03/01 (22:04:29) | INFO: Running on /dev/pts/3
2025/03/01 (22:04:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/01 (22:04:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/01 (22:04:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/01 (22:04:29) | DEBUG: Shared::init() : Initialized.
2025/03/01 (22:04:40) | INFO: Quitting! Runtime: 00:00:11

2025/03/02 (00:19:37) | ===> btop++ v.1.4.0
2025/03/02 (00:19:37) | INFO: Logger set to DEBUG
2025/03/02 (00:19:37) | DEBUG: Using locale C.UTF-8
2025/03/02 (00:19:37) | INFO: Running on /dev/pts/2
2025/03/02 (00:19:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (00:19:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/02 (00:19:37) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/02 (00:19:37) | DEBUG: Shared::init() : Initialized.
2025/03/02 (00:20:44) | DEBUG: Writing new config file
2025/03/02 (00:20:44) | INFO: Quitting! Runtime: 00:01:07

2025/03/02 (14:01:07) | ===> btop++ v.1.4.0
2025/03/02 (14:01:07) | INFO: Logger set to DEBUG
2025/03/02 (14:01:07) | DEBUG: Using locale C.UTF-8
